It is a crime to abort the female fetus,مادٕ حمل اڈٕلیٛوٚک کرُن چُھ جُرُم,اسقاط,,,,,,,,,,,,,
"Peace talks had to be aborted.
",امنٕچ کتھ باتھ پیٚیہِ اَڈٕوَتِہ ترٛاوٕنۍ,منسوخ,,,,,,,,,,,,,
"Some communities are against abortion.
",کیٚنٛہہ طبقہٕ چھِ یٔڈ منٛز بچہٕ اڈٕلیٛوکھ کرنس خٕلاف,اسقاط حمل,,,,,,,,,,,,,
"Mission that proved abortive was reported in the newspaper.
",سہ مُہِم یُس ناکام سپدیٛیہ آیہ اخبارس دنہٕ,ناکام,,,,,,,,,,,,,
"We will not talk about him.
",أسۍ کَرو نہٕ تٔمِس مُتعلِق کتھ,بارے,,,,,,,,,,,,,
"Boys were sitting about in the park.
",لٔڑکہٕ ٲسۍ پارکہِ منٛز ہُپٲرۍ یپٲرۍ بِہِتھ,ادھر ادھر,,,,,,,,,,,,,
"She is about to finish her homework.
",لگ بگ چھِ سہ گھرں باپتھ دنہٕ آمژ کٲم مۄکلاونس تیار,تقریبا,,,,,,,,,,,,,
"We will not complain about it any longer now.
",اتھ مُتعلق کرو نہٕ وۄنۍ أسۍ شِکایت۔,بارے,,,,,,,,,,,,,
"I read a book about cricket.
",مےٚ پٔر کِرکَٹَس مُتعلِق اکھ کِتاب,بارے,,,,,,,,,,,,,
"I dropped the pen somewhere about here.
",مےٚ پیوٚو قلم کتہِ تانۍ ییٚتی اورٕ یور,یہیں کہیں,,,,,,,,,,,,,
"Please fix a mirror above the wash basin.
",مہربٲنی کٔرِتھ لٲگِو واش بیسنہِ پٮ۪ٹھ شیٖشہٕ,اوپر,,,,,,,,,,,,,
"Grades B and above are considered satisfactory.
",گرٛیڑ بی یا تمہِ ہیٚور چُھ یِوان تسلی بخٕش مانٛنہٕ,اوپر,,,,,,,,,,,,,
"The water rose above the danger mark.
",آب کھوٚت خطرٕ کہِ نِشانہٕ پیٚٹھۍ۔,اوپر,,,,,,,,,,,,,
"The house has a thatched roof above.
",مکانس چُھ پٮ۪ٹھٕ ژھییہ پَش,اوپر,,,,,,,,,,,,,
"My brother lives in the flat above ours.
",میٛون بوے چُھ اسہِ پٮ۪ٹھٕ کنہِ فلیٹس منٛز روزان,اوپر,,,,,,,,,,,,,
"Please reply at the above mentioned address.
",مہربانی کٔرِتھ دیٖو پیٚٹھٕ کنہِ دِنہٕ آمتِس پتہس پٮ۪ٹھ جواب,مزکورہ,,,,,,,,,,,,,
"I read the abridged edition of Dickens`s `Oliver Twist`.
",مےٚ پوٚر ڈِکنٛز سُنٛد “آلِور ٹُوِسٹُک“ مختصر ایٚڈِشن,مختصر,,,,,,,,,,,,,
"He has relatives both in India and abroad.
",تٔمِس چھِ رِشتہٕ دار ہِنٛدُستانس منٛز تہٕ پردیسس منٛز تہِ,بیرون,,,,,,,,,,,,,
"There is a rumour abroad about you having a love affair
",ژۄپٲرۍ چھےٚ چانہِ محبت آسنٕچ افوا,بیرون,,,,,,,,,,,,,
"The conversation was brought to an abrupt end.
",کتھ باتھ کٔرٕکھ اچانک برخاس,اچانک,,,,,,,,,,,,,
"Everybody dislikes his abrupt manners.
",تٔٔمۍ سٕنٛدۍ عجیٖب عادات چھِ نہٕ کٲنٛسہِ پَسنٛد,عجیب,,,,,,,,,,,,,
It was an abrupt action.,یہِ ٲس اکھ اچانک حرکت/ عمل,اچانک,,,,,,,,,,,,,
"He ended his speech abruptly.
",تٔمِۍ کوٚر ہنٛگتہٕ منٛگہٕ پنُن تقریر اختِتام,اچانک,,,,,,,,,,,,,
"He is planning to abscond with his beloved.
",سُہ چُھ پنٛنہِ معشوٗش سۭتۍ ژلنُک منٛصوٗبہٕ بناوان,مفرور,,,,,,,,,,,,,
"We shall not leave in his absence.
",أسۍ نیرو نہٕ تٔمۍ سٕنٛزِ غٲر حٲضری منٛز,غیر موجودگی,,,,,,,,,,,,,
"He is always absent from the class.
",سُُہ چُھ ہمیشہٕ کَلاس منٛز غٲر حٲضر آسان,غیر حاضر,,,,,,,,,,,,,
"You cannot choose to absent yourself from the chemistry class.
",ژٕ ہیٚکَکھ نہٕ کیٚمِسٹری کَلاسہٕ منٛز غٲر حٲضر روٗزِتھ,غیر حاضر,,,,,,,,,,,,,
"There is no absolute standard for beauty.
",خوٗبصوٗتی ہِنٛدِ خٲطرٕ چُھ نہٕ کانٛہہ مُقرر معیار,مطلق,,,,,,,,,,,,,
"Their belief in God is absolute.
",خۄدایس پٮ۪ٹھ تِہُنٛد یٔقیٖن چُھ مُکمل,کامل,,,,,,,,,,,,,
"You are absolutely right.
",ژٕ چُھکھ بِلکُل صٔحی,بِلکل,,,,,,,,,,,,,
"Dry sand absorbs water.
",ہوٚچھ سٮ۪کھ چھےٚ آب شرٛپراوان,جذب,,,,,,,,,,,,,
"His business absorbs his time.
",تٔمۍ سُنٛد کاربار چُھ تَس وقٕت کھٮ۪وان,جذب,,,,,,,,,,,,,
"I was totally absorbed in the novel.
",بہٕ ٲسٕس ناولہِ منٛز پوٗرٕ پٲٹھۍ مَس گٔمٕژ,مگن,,,,,,,,,,,,,
"You are requested to present the abstract of your paper.
",بَراے مہربٲنی کٔرِو پنٛنہِ پیپرُک خُلاصہٕ پیش,خلاصہ,,,,,,,,,,,,,
"He is an abstract painter.
",سُہ چُُھ اکھ تَصوُرٲتی رنٛگ ساز,تجریدی,,,,,,,,,,,,,
"It is an abstract painting.
",یہِ چھےٚ اکھ خیٲلی تصویٖر,تجریدی،خیالی,,,,,,,,,,,,,
"Beauty and love are abstract.
",خوٗبصوٗرتی تہٕ محبت چھِ تجریدی,تجریدی,,,,,,,,,,,,,
"He has an abstract notion to change the system.
",تٔمِس چُھ نِظام بدلاونُک اَکھ خیٲلی نظریہٕ,تجریدی,,,,,,,,,,,,,
"Two other points must be abstracted from the lecture.
",باقی زٕ مسایِل گژھن تقریٖرٕ منٛز ہٹاوٕنۍ,منسوخ،خاتما,,,,,,,,,,,,,
"Most novels are abstract.
",زیادٕ تر ناولہٕ چھےٚ آسان تَصوُرٲتی,تجریدی,,,,,,,,,,,,,
"She always talks in abstractions.
",سۄ چھےٚ ہمیشہٕ بےٚ خبری مںز کَتھٕ کَران,تجرید,,,,,,,,,,,,,
"He was gazing at the lawn with an air of abstraction.
",سُہ اوس باغس کُن وٕچھان مگر اوس خبر کتھ خیالس منٛز,خوابیدگی، خیالی,,,,,,,,,,,,,
"I find his ideas absurd.
",تٔمۍ سٕنٛدۍ خیال چھِ مےٚ باسان فٔضوٗل,مضحکہ خیز,,,,,,,,,,,,,
"That dress makes them look absurd.
",یِمو پَلوَو سۭتۍ چھِ تِم باسان چٲرۍ,نامعقول,,,,,,,,,,,,,
"Child abuse is rampant in the world.
",دُنیاہس منٛز چِھ بَچن سٔتۍ بدسلوکی دوہ پتھ دوہ بڈان,زیادتی,,,,,,,,,,,,,
"The opposition party hurled abuses on the ruling party.
",مُخٲلِف جمٲژ کجہِ حُکُمرٲنی جمٲژ لٮ۪کہٕ,گالیاں,,,,,,,,,,,,,
"There is widespread abuse of energy resources.
",توانٲیی ہِنٛدٮ۪ن وسٲیلن ہُنٛد چُھ بٔڑِس پیٚمانس پٮ۪ٹھ غلط اِستعمال گژھان,غلط استعمال,,,,,,,,,,,,,
"The rowdies abused the journalist for reporting about their anti-social activities.
",لڑایہِ گَرٮ۪و ژارِ اخبٲری نُمٲیِنٛدن تِہنٛزٕ غٲر سمٲجی ہرکتہٕ بیان کرنہٕ خٲطرٕ لٮ۪کہِ,گالیاں,,,,,,,,,,,,,
"The academic standards differ in the institutions.
",مُختٔلِف اِدارن منٛز چھِ آسان مُختٔلِف تٔلیٖمی معیار,تعلیمی,,,,,,,,,,,,,
"His knowledge is purely academic.
",تٔمۍ سُنٛد عٔلِم چُھ محض تٔلیٖمی,علم,,,,,,,,,,,,,
"Mr.Anand is quite an academic person.
",آنٛند صٲب چُھ اکھ عٲلِم شخٕص,علمی,,,,,,,,,,,,,
"The Royal Academy of drama sponsored them.
",تِٔمن چُھ ڈرٛامہ کہِ رایل اٮ۪کیٚڑمی اِمداد کوٚرمُت,اکیڈمی,,,,,,,,,,,,,
"There seems to be no acceleration in their economic growth.
",تِنٛزِ مٲلی ترقی منٛز چُھ نہٕ کانٛہہ ہُرٮ۪ر باسان,تیزی,,,,,,,,,,,,,
"The machine only accepts 1 Re. coin.
",مِشیٖن چھےٚ صِرِف اکھ وَٹہٕ رۄپَے رَٹان,قبول,,,,,,,,,,,,,
"A cup of tea would be most acceptable.
",اکھ چایہِ کَپ روزِہا زیادٕ قٲبلہِ قٔبوٗل,قابل قبول,,,,,,,,,,,,,
"We have their acceptance on this issue as well.
",تِہِنٛز منٛظوٗری چھےٚ اسہِ یتھ مسلس پٮ۪ٹھ تہِ,اختیار،قبولیت,,,,,,,,,,,,,
"He was refused access to the hallway.
",تٔمِس آو أنٛدرِمہِ وتہِ آمدورفت کرنس منٛع کرنہٕ,دلان,,,,,,,,,,,,,
"I have an access to on-line Library.
",مےٚ چُھ آنلایِن لابریری تان پِلن پایہِ,رسایی,,,,,,,,,,,,,
"He met with a car accident.
",تٔمِس گوٚو اکھ حٲدثہٕ,حادثہ,,,,,,,,,,,,,
"The hotel can accommodate upto 100 guests.
",ہوٚٹلس منٛز ہٮ۪کن پٔژھۍ ہَتھ کھنٛڑ وٲتِتھ,گنجاییش,,,,,,,,,,,,,
"These policies are designed to accomodate all classes.
",یِم پالسی چھےٚ یِتھ کٔنٛی بناونٛہٕ آمژٕ زِ ہر کُنہِ طبقس یی مُروت کرنہٕ,مروت,,,,,,,,,,,,,
"Dinosaurs couldn`t accomodate to the changing environment.
",ڈایناسور ہٮ۪ک نہ تبدیل شُدا ماحول حصابٕ رٗزِتھ,رہنا,,,,,,,,,,,,,
"The banks accomodate poor farmers with loan.
",بٮ۪نٛک چھِ غٔریٖب زٔمیٖن دارن لون دِتھ مَدت کَران,فراہم,,,,,,,,,,,,,
"We found accomodation near the railway station itself.
",اسہِ بَنٛیٚیہِ جاے ریلوے سٹیشنٛس نزدیٖکٕے,رہائش,,,,,,,,,,,,,
"Polar bears are facing accomodation problems due to the global warming.
",پولر بِیرَن چھِ گلوبل وارمِنٛگ کہِ وجہہ سۭتۍ رِہٲیشی مسٲیِل پیش یِوان,رہائش,,,,,,,,,,,,,
"I accompanied her to the station.
",بہٕ گوس تٔمِس سٹیشنس تانۍ سۭتۍ,ساتھ,,,,,,,,,,,,,
"The singer was accompanied by his friend.
",موسیٖقی کارس دیُت پنٕنۍ دوستن ساتھ,ساتھ,,,,,,,,,,,,,
"We can collectively accomplish the task of nabbing the murderers.
",أسۍ ہٮ۪کو اِکہٕ وَٹَے قٲتِل رٹنٕچ کٲم انٛجام دِتھ,انجام,,,,,,,,,,,,,
"She is an accomplished artist.
",سۄ چھےٚ اَکھ ہِنر منٛد فنکار,ماہر,,,,,,,,,,,,,
"Israel and Palestine signed a peace accord.
",اِسرٲیلن تہٕ فلسطیٖنن چُھ أکِس امن کِس مُہادس پٮ۪ٹھ دستخت کوٚرمُت,معاہدے,,,,,,,,,,,,,
"His thoughts and actions do not accord.
",تٔمۍ سٕنٛدۍ خیالات تہٕ عامال چھِ نہٕ رلان,موافق,,,,,,,,,,,,,
"Akbar was accorded this privilege.
",اکبَرس اوس یہِ خٔصوٗصی مُفاد دِنہٕ آمُت,حاصل ہونا۔ملنا,,,,,,,,,,,,,
"The rules are in accordance with the custom.
",قوٲیِدن تہٕ رٮ۪واجن چُھ پانہٕ ؤنۍ ہِشر,مطابق,,,,,,,,,,,,,
"The work was done according to his instructions.
",کٲم آیہِ تٔمۍ سٕنٛدٮ۪ن ہِدایتن مُطٲبِق کرنہٕ,مطابق,,,,,,,,,,,,,
"You must work accordingly to the rules.
",ژےٚ پَزی قوٲیدن تحت کٲم کَرٕنۍ,مطابق,,,,,,,,,,,,,
"I have an account in the Central bank.
",مےٚ چُھ مرکٔزی بٮ۪نٛکس منٛز اکھ کھاتہٕ,"کھاتہ,اکاونٹ",,,,,,,,,,,,,
He gave an account of his experience in trekking.,تٔمۍ دیُت ٹرٛیٚکِنٛگ منٛز پنٛنہِ تجرُبُک تفصیٖل,"بتانا,حساب دینا",,,,,,,,,,,,,
"We could never account for this miscalculation.
",أسۍ ہٮ۪کو نہٕ زانٛہہ تہِ تٔمۍ سٕنٛدِ غلط حسابُک شمار کٔرِتھ,حساب,,,,,,,,,,,,,
"A person is accounted minor until 18 years.
",اکھ شخٕص چُھ اردَہن ؤرین تام نابالغ مانٛنہٕ یِوان,سمجھنا,,,,,,,,,,,,,
"The Indian market accounted for 40% of the total sales.
",ہِنٛدُستانٕکۍ بازرن نیٛوو کُل فورختُک 40 فیٖصد حِصہٕ۔,حصہ لینا,,,,,,,,,,,,,
"The lawyer questioned the accuracy of my account.
",ؤکیٖلن تُل میٲنِس اکاونٛٹ کِس صداقتس پٮ۪ٹھ سوال,درستگی,,,,,,,,,,,,,
"We can no more predict the changes with greater accuracy.
",أسۍ ہیٚکو نہٕ زیادٕ دُرُستی سان تبدیٖلین ہِنٛز مزیٖد پیشن گویی کٔرِتھ۔,درستگی، سچائی,,,,,,,,,,,,,
"All his calculations are accurate.
",تٔمۍ سُنٛد سورُے حِساب چُھ دُرُست,درست,,,,,,,,,,,,,
He didn't take the measurement accurately.,تٔمۍ تُل نہٕ میٖژ صحیٖح پٲٹھۍ۔,درست طریقے سے، درستگی سے,,,,,,,,,,,,,
"They will accuse us of incompetency.
",تِم لاگن اسہِ نااہلیت آسنٕچ تۄہمت,الزام,,,,,,,,,,,,,
"The accused was acquitted of the charge.
",مُلزِم آو اِزام نِش بٔری کرنہٕ,الزام,,,,,,,,,,,,,
"He quickly accustomed himself to this new way of life.
",تٔمۍ کوٚر پنٛنہِ نَیہِ زنٛدگی ہِنٛدِس طریٖقس سۭتۍ پانس جلدی عادت۔,عادی,,,,,,,,,,,,,
The child is accustomed of sleeping in his mother's lap.,بچہٕ چُھ ماجہِ ہِنٛزِ کھۄنہِ منٛز شۄنٛگنُک عٲدی۔,عادی، عادت,,,,,,,,,,,,,
What an ace trainer he is.,سُہ کوتاہ بہتریٖن تربِیت دِنہٕ وول چُھ۔,عمدہ، بہترین,,,,,,,,,,,,,
"Akram is an ace chess player of India.
",شترنٛجَس منٛز چُھ اکرَم ہِنٛدُستانُک اَکھ مٲہِر کھلٲڑۍ,ماہر,,,,,,,,,,,,,
I aced my English test.,مےٚ کٔرۍ پنٛنِس انٛگریٖزۍ ہِنٛدِس اِمتِحانس منٛز اعلیٰ نمبرات حٲصِل۔,اعلیٰ نمبر حاصل کرنا,,,,,,,,,,,,,
"Anand is an ace chess player.
",آنٛند چُھ شطرنٛجُک مٲہِر کِھلٲڈۍ,ماہر,,,,,,,,,,,,,
"I am suffering from stomach ache since yesterday.
",مےٚ چُھ راتہٕ پٮ۪ٹھٕ میٛادس دود,درد,,,,,,,,,,,,,
"My heart aches on seeing her suffer.
",مےٚٚ چُھ تٔمۍ سُنٛد تکلیٖف وٕچِھتھ دِلس دَگ وَتھان,تکلیف,,,,,,,,,,,,,
"She achieved her goal despite setbacks.
",رُکاوٹَو باوجود تہِ گٔیہِ سۄ پنٛنِس مقصَدس منٛز کامیاب,حاصل,,,,,,,,,,,,,
"I congratulate you for your achievement.
",بہٕ چُھسَے ژےٚ چانہِ کامیٲبی خٲطرٕ مُبارک بٲدی پیش کَران,کامیابی,,,,,,,,,,,,,
"This bottle contains acid.
",یتھ بوتلہِ منٛز چُھ تیزٕ,تیزاب,,,,,,,,,,,,,
"Irregular meals often release strong acid in the stomach.
",باقٲیدٕگی سان کھٮ۪ن نَہ کھٮ۪نہٕ سۭتۍ چُھ میٛادس منٛز سٮ۪ٹھا ژۄکٮ۪ر پٲدٕ سپدان,کھٹاپن,,,,,,,,,,,,,
"She will acquire the files by tommorrow.
",سۄ کَرِ پگاہ تانۍ فایلہٕ حٲصِل,حاصل,,,,,,,,,,,,,
"Acquisition of langauage is innate in a child.
",زبٲنۍ ہُنٛد ہیٚچُھن چُھ بچس منٛز فِطری آسان۔,حصول,,,,,,,,,,,,,
"The institute has been built on 35 acres of land.
",یہِ اِدارٕ چُھ آمُت پانٛژ ایکَڑ زٔمیٖنس پٮ۪ٹھ بناونہٕ,ایکڑ,,,,,,,,,,,,,
"We ran all across the fields to catch the hens.
",کۄکر رٹنہٕ خٲطرٕ دورے أسۍ کھہَس اَپارِیَپور,ادھر ادھر,,,,,,,,,,,,,
"I helped the old lady across the busy road.
",مےٚ کوٚر بِرٕ واجنہِ سڑکہِ پیٚٹھ بٕجہِ زنانہِ اپارِ پیٚٹھٕ یپور ترنس منٛز مدد۔,پار,,,,,,,,,,,,,
"We should be across the village by night.
",أسۍ گژھو رٲژ تانۍ گامس اپارِ آسٕنۍ۔,اس پار,,,,,,,,,,,,,
"He leaned across to wait for us.
",اسہِِ پیٛارنہٕ خٲطرٕ نیٚمیو سُہ اکی طرفہٕ۔,ایک طرف,,,,,,,,,,,,,
"The President`s address to the nation was broadcasted across the country.
",صدر سُنٛد قومہٕ خٲطرٕ خٕطاب آو مُلکس منٛز ژۄپٲرۍ نشر کرنہٕ۔,بھر میں,,,,,,,,,,,,,
"My friend shouted from across the road.
",میٛٲنی دوستن لٲج سڑکہِ اپارِ پٮ۪ٹھٕ کرٛٮ۪کھ,پار,,,,,,,,,,,,,
The baby kept on crawling across the floor.,بچہٕ روٗد پٔتھرِس انٛدٕ ونٛدٕ کھۄکٕھش کران۔,آر پار,,,,,,,,,,,,,
"The student drew a line across the sheet.
",طالبہِ عٔلمن بنٲو کاغزس اپارِ یَپور اکھ لٔکیٖر,پار,,,,,,,,,,,,,
"He shall certainly act in the play.
",سُہ کَرِ ڈرٛاماہَس منٛز ضٔروٗر اداکٲری,"اداکاری ,کام",,,,,,,,,,,,,
"The murder of the King takes place in the first act of the play.
",بادشاہ سُنٛد قتل چُھ ڈرٛامہ کِس گۄڈنِکِس حِصَس منٛز سپدان,ایکٹ,,,,,,,,,,,,,
"Parliament has passed an act which makes such sports illegal.
",پارلیمٮ۪نٛٹن چُھ اَکھ اٮ۪کٹ پاس کوٚرمُت یَتھ مُطٲبِق یِتھۍ کھیل غٲر قونونی چھِ,ایکٹ,,,,,,,,,,,,,
Many people talk but only a few act.,واریاہ لُکھ چھِ کَتھٕ کَران مگر عَمل چھِ سٮ۪ٹھا کم لُکھ کَران,عمل,,,,,,,,,,,,,
"She can act on the stage very well.
",سۄ ہیٚکہِ سٹیجس پٮ۪ٹھ اصٕل اداکٲری کٔرِتھ,اداکاری,,,,,,,,,,,,,
"The manager was acting on behalf of the president.
",مُنتظم اوس صدر سٕنٛدِ بدلہٕ کٲم کرنا۔,کام کرنا، کارکردگی کرنا,,,,,,,,,,,,,
"She is not good at acting.
",تٔمِس چھےٚ نہٕ اصٕل اداکٲری تَگان کیٚنٛہ,اداکاری,,,,,,,,,,,,,
"Her action offended everyone.
",تٔمۍ سٕنٛزِ حرکتہِ سۭتۍ گٔیہٕ سٲری بیزار,حرکت,,,,,,,,,,,,,
"We can put the plan into action immediately.
",أسۍ ہٮ۪کو منٛصوٗبہٕ فوری طور عملہِ منٛز أنِتھ,عملی شکل,,,,,,,,,,,,,
"He is taking an active interest in the politics.
",سُہ چُھ سِیاسَتس منٛز عملی تَوجہٕ دِوان,سرگرم,,,,,,,,,,,,,
"He is a sincere activist in the party.
",سُہ چُُھ جمٲژ ہُنٛد اکھ خٲلِص کارکُن,کارکن,,,,,,,,,,,,,
"The extra curricular activity has to be implemented soon.
",غٲر نِصٲبی عمل چھےٚ جلدی لاگوٗ گَژھن واجیٚنۍ,سرگرمی,,,,,,,,,,,,,
"Akber is a good actor.
",اکبر چُھ اکھ اصٕل اداکار,اداکار,,,,,,,,,,,,,
"The actual cost of ring was much higher than we had expected.
",واجہِ ہُنٛد صٔحیٖح قۭمت اوس سانہِ وۄمید کھۄتہٕ زیادٕ,اصل,,,,,,,,,,,,,
"He is actually my relative.
",سُہ چُھ بِزٲتی میٛون رِشتہٕ دار,دراصل,,,,,,,,,,,,,
"We can add some more sugar to the curd.
",أسۍ ہٮ۪کو زامہٕ دۄدَس بیٚیہِ تھوڑا کھنٛڈ رَلٲوِتھ,مَلانا ،ڈالنا,,,,,,,,,,,,,
"I do not want to add onto my worries now.
",بہٕ چُھس نہٕ یَژھان وۄنۍ پنٕنۍ پَریشٲنی بڑاوٕنۍ,اضافہ کرنا,,,,,,,,,,,,,
Add up all the numbers.,تمام عدد کٔرِو جمع۔,جمع کرنا,,,,,,,,,,,,,
"They will be useful addition to our company.
",تِم آسن سانہِ کمپٔنی خٲطرٕ فٲیدٕ منٛد اِضافہٕ,اضافہ,,,,,,,,,,,,,
"This equipment is the latest addition to our office.
",یہِ سامان چُھ سانہِ دفتَرُگ تازہٕ تٔریٖن ہُرٮ۪ر,اضافہ,,,,,,,,,,,,,
"The ventilation has been improved by the addition of windows.
",دارٮ۪ن منٛز اِضافہٕ کِنۍ چھےٚ ہَوا دٲری منٛز بہتٔری آمٕژ,اضافہ,,,,,,,,,,,,,
"There was an additional paper at the end of the seminar.
",سیٚمِنار کِس اِختِتامس پٮ۪ٹھ اوس اکھ علاوٕ تصنیٖف,اضافی,,,,,,,,,,,,,
"I need an additional information on this topic.
",مےٚٚ چھےٚ یَتھ موضوٗعس پٮ۪ٹھ زیادٕ زانٛکٲری ہِنٛز ضٔروٗرت,اضافی,,,,,,,,,,,,,
"Please send the books on my home address.
",مہربٲنی کٔرِتھ سوٗزِو کِتابہٕ میٛٲنِس گرِ کِس پتہَس پٮ۪ٹھ,پتہ,,,,,,,,,,,,,
"The presidential address was very inspiring.
",صدٕر سُنٛد تقریٖر اوس مُتٲثِر کَرن وول,خطاب,,,,,,,,,,,,,
"The parcel has been addressed incorrectly.
",پارسَلس چُھ آمُت غلط پَتہہ لٮ۪کھنہٕ,پتہ,,,,,,,,,,,,,
"The president is about to address the nation.
",صدٕٕر چُھ قومس تقریٖر کَرن وول,خطاب,,,,,,,,,,,,,
"Please address all suggestions to the chairman.
",مہربٲنی کٔٔرِتھ کٔرۍوون چِیرمین تمام تجاویٖزَو سۭتۍ آگاہ,آگاہ,,,,,,,,,,,,,
"You must address everyone in the meeting confidently.
",تۄہہِ پَزٮ۪و اِجلاسس منٛز ہر أکِس سۭتۍ اعتِماد سان مُخٲطب گژُھن,مخاطب,,,,,,,,,,,,,
"We need to address ourselves to the main problems of the group.
",اسہِ پَزِ گرٛوٚپ کٮ۪ن اہم مثٲیلن سۭتۍ وٲقِف سپدُن,واقف ہونا/ کرنا,,,,,,,,,,,,,
"Drink adequate water and food to be energetic.
",اسہِ پَزِِ ہٮ۪کَتھ انٛنہٕ خٲطرٕ سٮ۪ٹھا ترٛیش تہٕ کھٮ۪ن کھیوٚن,مناسب,,,,,,,,,,,,,
"The speech was not adequate to convince the gathering.
",تقریٖر اوس نہٕ مجلِس قٲیِل کرنَس لایق,کافی,,,,,,,,,,,,,
"We are not adequately equipped to launch the new brand.
",نوٚو بریٚنٛڈ لانچ کرنہٕ خٲطرٕ چھِ نہٕ أسۍ پوٗرٕ پٲٹھۍ تیار,مناسب,,,,,,,,,,,,,
"Notorious is the adjective which describes him best .
",بدنام چُھ سُہ صفت یُس تس بہتریٖن پٲٹھۍ بیان چُھ کران۔,صفت,,,,,,,,,,,,,
"The coffee shops adjoin the hotel's reception .
",کافی شاپ چھِ ہوٹل کِس رِسیٚپشَنٛس لرِ لوٚر,"ملنا, متصل ہونا",,,,,,,,,,,,,
"We have to adjust to the changing conditions of weather.
",اسہِ چُھ موسم کہِ تبدیٖلی سۭتۍ ہم آہنٛگ کَرُن,ھم آہنگ,,,,,,,,,,,,,
"You need to adjust the rear view mirror to get a clear view.
",صاف نظارٕ وٕچھنہٕ خٲطرٕ پیٚیَو تۄہہِ ریئر ویو شیٖشہٕ صٔحیح پٲٹھۍ تھاوُن,صحیح,,,,,,,,,,,,,
"We can adjust the balance later on.
",أسۍ ہٮ۪کَو بیلنٛس پتہٕ تہِ بَرابر کٔرِتھ,برابر,,,,,,,,,,,,,
"The car tyres needed slight adjustment to drive in the hilly area.
",پٔہٲڑی علاقس منٛز پکنہٕ خٲطرٕ چھےٚ گاڑِ ہِنٛدٮ۪ن ٹٲرن معموٗلی سٮ۪زَر کرنٕچ ضٔروٗرت,سیدھا,,,,,,,,,,,,,
"We need to administer the budget accordingly.
",اسہِ چُھ امے مطابق بجٹُک بُندٕبَستہٕ کَرنٕچ ضرورت,انتظام,,,,,,,,,,,,,
"The Court of Law is responsible to administer justice.
",قانونی عدالت چھِ انصافی فٲسلہ عملہِ منٛز اَننٕچ ذمہ دار,فراہمی,,,,,,,,,,,,,
"A special team was called to administer relief to the cyclone hit victims.
",طوٗفانس منٛز مُتٲثر گَژھن والٮ۪ن اِمداد دِنہٕ خٲطرٕ آیہِ اکھ خٔصوٗصی ٹیٖم بُلاونہٕ,فراہم,,,,,,,,,,,,,
"He works efficiently in the school administration.
",سُہ چُُھ سُکوٗل اِنٛظامیاہس منٛز قابلِیت سان کٲم کَران,انتظامیہ,,,,,,,,,,,,,
"A complex administrative problem came up suddenly.
",اکھ مُشکِل اِتِظٲمی معاملہٕ گوٚو کھڑا,انتظامی,,,,,,,,,,,,,
"He works as an administrator in the public works department.
",سُہ چُھ محکمہ تعمیٖراتہِ عامَہس منٛز بَحیثیت نٲظِم کٲم کَران,انتظامی,,,,,,,,,,,,,
"I admire him for his wit.
",مےٚ چُھ سُہ تَسٕنٛزِ حٲظر جوٲبی باپتھ خۄش کَران,تعریف,,,,,,,,,,,,,
